	-0.00368	-0.00348	-0.00329	-0.0031	-0.00291	-0.00272	-0.00254	-0.00236	-0.00219	-0.00203	-0.00189	-0.00176	-0.00165	-0.00155	-0.00148	-0.00143	-0.00141	-0.00141	-0.00144	-0.0015	-0.00157	-0.00167	-0.00179	-0.00192	-0.00207	-0.00223	-0.0024	-0.00258	-0.00276	-0.00294	-0.00314	-0.00333	-0.00352	-0.00372
	-0.00348	-0.00327	-0.00307	-0.00286	-0.00265	-0.00245	-0.00225	-0.00205	-0.00186	-0.00169	-0.00152	-0.00137	-0.00124	-0.00113	-0.00105	-0.00099	-0.00096	-0.00097	-0.001	-0.00107	-0.00116	-0.00127	-0.00141	-0.00156	-0.00173	-0.00191	-0.0021	-0.00229	-0.00249	-0.0027	-0.0029	-0.00311	-0.00332	-0.00353
	-0.00329	-0.00307	-0.00284	-0.00262	-0.00239	-0.00217	-0.00195	-0.00173	-0.00151	-0.00131	-0.00112	-0.00095	-0.00079	-0.00066	-0.00056	-0.0005	-0.00046	-0.00047	-0.00051	-0.00059	-0.00069	-0.00083	-0.00099	-0.00117	-0.00136	-0.00157	-0.00178	-0.002	-0.00222	-0.00245	-0.00267	-0.00289	-0.00311	-0.00334
	-0.00309	-0.00286	-0.00262	-0.00237	-0.00213	-0.00188	-0.00163	-0.00138	-0.00114	-0.00091	-0.00068	-0.00048	-0.00029	-0.00014	-2e-05	7e-05	0.0001	0.0001	5e-05	-5e-05	-0.00018	-0.00034	-0.00053	-0.00074	-0.00097	-0.00121	-0.00145	-0.0017	-0.00194	-0.00219	-0.00243	-0.00268	-0.00291	-0.00315
	-0.0029	-0.00265	-0.00239	-0.00212	-0.00185	-0.00158	-0.0013	-0.00102	-0.00074	-0.00047	-0.0002	5e-05	0.00027	0.00046	0.00061	0.00072	0.00077	0.00076	0.00069	0.00057	0.00041	0.00021	-3e-05	-0.00028	-0.00055	-0.00082	-0.0011	-0.00138	-0.00166	-0.00193	-0.0022	-0.00246	-0.00271	-0.00296
	-0.00271	-0.00244	-0.00216	-0.00187	-0.00158	-0.00127	-0.00096	-0.00064	-0.00031	1e-05	0.00033	0.00064	0.00092	0.00116	0.00136	0.00149	0.00156	0.00154	0.00146	0.0013	0.00109	0.00084	0.00055	0.00024	-9e-05	-0.00041	-0.00074	-0.00106	-0.00137	-0.00167	-0.00196	-0.00225	-0.00252	-0.00279
	-0.00253	-0.00224	-0.00194	-0.00162	-0.0013	-0.00096	-0.0006	-0.00023	0.00015	0.00054	0.00093	0.00132	0.00168	0.002	0.00225	0.00243	0.00252	0.0025	0.00239	0.00218	0.0019	0.00157	0.0012	0.00081	0.00042	3e-05	-0.00035	-0.00072	-0.00107	-0.00141	-0.00173	-0.00204	-0.00233	-0.00261
	-0.00235	-0.00204	-0.00172	-0.00137	-0.00101	-0.00063	-0.00022	0.00021	0.00066	0.00113	0.00162	0.00211	0.00258	0.00301	0.00337	0.00362	0.00374	0.00372	0.00355	0.00326	0.00288	0.00243	0.00195	0.00146	0.00098	0.00051	6e-05	-0.00037	-0.00077	-0.00114	-0.0015	-0.00183	-0.00215	-0.00245
	-0.00218	-0.00185	-0.0015	-0.00113	-0.00073	-0.0003	0.00016	0.00067	0.00121	0.00179	0.00241	0.00305	0.00368	0.00428	0.00479	0.00516	0.00534	0.00531	0.00506	0.00464	0.0041	0.00348	0.00284	0.0022	0.00159	0.00102	0.00048	-1e-05	-0.00047	-0.00089	-0.00128	-0.00164	-0.00198	-0.0023
	-0.00202	-0.00167	-0.00129	-0.00089	-0.00045	3e-05	0.00056	0.00115	0.0018	0.00252	0.00332	0.00417	0.00505	0.00592	0.00668	0.00726	0.00754	0.00748	0.0071	0.00645	0.00564	0.00476	0.00388	0.00304	0.00227	0.00156	0.00092	0.00035	-0.00017	-0.00064	-0.00107	-0.00147	-0.00183	-0.00216
	-0.00187	-0.0015	-0.0011	-0.00066	-0.00017	0.00036	0.00097	0.00165	0.00244	0.00334	0.00436	0.00552	0.00678	0.00808	0.0093	0.01024	0.01073	0.01063	0.00997	0.00892	0.00765	0.00635	0.00511	0.00399	0.003	0.00214	0.00137	0.0007	0.00011	-0.00042	-0.00089	-0.00131	-0.0017	-0.00205
	-0.00173	-0.00134	-0.00091	-0.00044	8e-05	0.00068	0.00137	0.00216	0.0031	0.00422	0.00555	0.00714	0.00898	0.01103	0.01308	0.01478	0.01568	0.01549	0.01428	0.01241	0.01033	0.00834	0.00657	0.00506	0.00379	0.00273	0.00182	0.00104	0.00036	-0.00023	-0.00075	-0.0012	-0.0016	-0.00196
	-0.00162	-0.00121	-0.00075	-0.00025	0.00032	0.00098	0.00174	0.00266	0.00377	0.00515	0.00688	0.00906	0.0118	0.01513	0.01882	0.0222	0.02413	0.02372	0.02117	0.01757	0.01395	0.01081	0.00826	0.00623	0.00461	0.00331	0.00224	0.00134	0.00057	-0.0001	-0.00066	-0.00114	-0.00155	-0.0019
	-0.00152	-0.00109	-0.00062	-9e-05	0.00052	0.00124	0.00208	0.00312	0.00441	0.00608	0.00827	0.01124	0.01531	0.02085	0.02797	0.0356	0.04055	0.03944	0.03313	0.02543	0.01881	0.01379	0.01012	0.00743	0.00542	0.00386	0.00261	0.00158	0.00069	-7e-05	-0.00071	-0.0012	-0.00158	-0.0019
